site_name,index,mean,max,min,stdev,IQR,MK trend_value,MK_trend,MK_slope,MK_p_value,MK_intercept,cp_t,cp_pr_t,cp_s,cp_pr_s,site_location_name,latitude,longitude,bioregion_name
SAAGVD0004,FVC-PV,11.762,25.167,3.5,4.311,5.292,0.018,no trend,0.002,0.723088082,11.179,"['2020-09-30', '2018-10-01', '2014-04-02']","[0.996, 0.992, 0.459]","['2011-08-01', '2011-01-01', '2016-10-31']","[0.974, 0.971, 0.407]",SAAGVD0004,-30.81475278,132.1342611,GVD
SAAGVD0005,FVC-PV,9.678,24.417,3.167,3.3,2.958,-0.122,decreasing,-0.01,0.015327008,10.241,"['2023-12-01', '2016-04-01', '2017-04-02']","[0.983, 0.76, 0.671]","['2017-05-02', '2016-04-01', '2013-11-01']","[0.802, 0.351, 0.288]",,-27.70677226,133.6729863,GVD
SAAGVD0006,FVC-PV,9.912,23.958,3.167,4.014,4.875,-0.043,no trend,-0.005,0.396893708,9.329,"['2012-01-31', '2023-11-01', '2020-07-31']","[0.977, 0.656, 0.639]","['2016-10-31', '2016-04-01', '2010-09-01']","[0.869, 0.666, 0.217]",,-27.68661718,133.7008755,GVD
SAAKAN0001,FVC-PV,52.433,69.583,32.917,6.252,6.625,0.222,increasing,0.035,1.04E-05,49.408,"['2013-11-01', '2020-08-31', '2018-11-01']","[0.999, 0.998, 0.923]","[2011.3333740234375, 2024.3333740234375, nan]","[0.10070832818746567, 0.045041657984256744, nan]",SAAKAN0001,-35.64864444,137.3680278,KAN
SAAKAN0002,FVC-PV,51.401,72.333,2,14.017,11.458,-0.249,decreasing,-0.064,7.70E-07,61.237,"['2021-08-01', '2020-01-01', '2022-10-01']","[1.0, 1.0, 0.969]","['2020-01-01', '2020-08-31', '2015-09-01']","[0.988, 0.705, 0.287]",SAAKAN0002,-35.643269,137.217397,KAN
SAAKAN0003,FVC-PV,58.226,84.917,4,14.033,10.5,0.016,no trend,0.004,0.758919145,59.408,"['2020-01-01', '2021-01-31', '2022-01-31']","[1.0, 0.984, 0.889]","['2020-01-01', '2022-08-01', '2021-08-01']","[0.998, 0.768, 0.168]",SAAKAN0003,-35.74408333,137.3340444,KAN
SAAKAN0004,FVC-PV,45.154,73.167,8.25,12.108,14.938,0.1,increasing,0.037,0.046062479,42.126,"['2019-12-01', '2013-12-01', '2022-06-02']","[0.996, 0.988, 0.636]","['2020-01-01', '2015-08-01', '2014-08-01']","[0.959, 0.322, 0.149]",SAAKAN0004,-35.723154,136.973161,KAN
SAAKAN0005,FVC-PV,49.534,76.625,2,15.842,21.042,-0.095,no trend,-0.048,0.059254105,56.274,"['2020-01-01', '2013-12-01', '2021-03-02']","[1.0, 0.607, 0.355]","['2020-01-01', '2021-09-01', '2010-09-01']","[0.988, 0.604, 0.503]",SAAKAN0005,-35.810624,136.88294,KAN
SAAKAN0006,FVC-PV,41.227,69.75,2,13.301,13.042,-0.345,decreasing,-0.105,7.24E-12,54.591,"['2020-01-01', '2021-04-02', '2023-04-02']","[1.0, 0.999, 0.936]","['2013-08-01', '2014-05-02', '2012-01-31']","[0.826, 0.555, 0.539]",SAAKAN0006,-35.90062129,136.8960835,KAN
SAAKAN0007,FVC-PV,47.825,80.083,2,13.749,15.944,-0.016,no trend,-0.006,0.744720526,48.494,"['2020-01-01', '2021-01-31', '2013-07-02']","[1.0, 0.865, 0.684]","['2021-09-01', '2019-12-01', '2018-01-01']","[0.559, 0.491, 0.112]",SAAKAN0007,-35.908982,136.586576,KAN
SAAKAN0008,FVC-PV,52.792,67,41.833,5.312,7.792,0.133,increasing,0.021,0.008477038,50.729,"['2022-09-01', '2013-07-02', '2014-10-01']","[0.991, 0.694, 0.684]","[2012.5833740234375, 2024.3333740234375, nan]","[0.03225000202655792, 0.016875002533197403, nan]",SAAKAN0008,-35.904381,137.551283,KAN
